Description,Label
"Germany exported more electricity to its neighbours than it imported in 2022, even with an energy crisis at home, thanks to more more weather-driven renewable power and greater demand from France.",renewable energy
"United Arab Emirates renewable energy company Masdar and Ethiopia have signed an agreement for the joint development of a solar project with a capacity of 500 megawatts, Ethiopia's prime minister said on Wednesday.",renewable energy
"The United States and United Arab Emirates announced on Sunday that the first $20 billion of their $100 billion clean energy partnership would be allocated to fund 15 new gigawatts of renewable energy projects before 2035, state news agency WAM said.",renewable energy
"Right now, $1.50 is invested in renewable energy for every $1 invested in fossil fuels. That must be $9 to reach our climate goals, experts say.",renewable energy
White House guidance released Friday telling agencies how to weigh climate change when permitting major infrastructure could help streamline environmental reviews for in-demand projects such as transmission lines and could make approvals for renewable energy …,renewable energy
"U.S. power consumption will ease in 2023 as weaker economic activity and milder weather drag it from the record high hit the previous year, the U.S. Energy Information Administration (EIA) said in its Short-Term Energy Outlook (STEO) on Tuesday.",renewable energy
Oil major BP plans to build a vast carbon capture project beneath the North Sea that would be crucial to Britain hitting its emissions targets. Power giant Orsted aims to build a huge offshore windfarm to help the country meet renewable goals.,renewable energy
"Producers of clean technologies like renewable hydrogen and batteries could receive faster permits under European Union plans to support industries facing U.S. and Chinese competition, a draft document showed on Monday.",renewable energy
"Renewable energy is likely to eventually overtake Fortescue Metals Group's <a href=""https://www.reuters.com/companies/FMG.AX"" target=""_blank"">(FMG.AX)</a> iron ore business, despite strong tailwinds for the commodity ahead, the company's former chief executiv…",renewable energy
"Swiss renewable power group Smartenergy plans to sell a portfolio of solar power projects in Spain, Expansion newspaper reported on Thursday, citing unidentified market sources.",renewable energy
"United Arab Emirates renewable energy company Masdar, state oil firm Abu Dhabi National Oil Company (ADNOC) [RIC:RIC:ADNOC.UL] and oil major BP <a href=""https://www.reuters.com/companies/BP.L"" target=""_blank"">(BP.L)</a> agreed to conduct a joint feasibility s…",renewable energy
"Oil company Cepsa said on Wednesday is to develop a green hydrogen plant in Huelva in southern Spain with the renewable business of gas grid operator Enagas <a href=""https://www.reuters.com/companies/ENAG.MC"" target=""_blank"">(ENAG.MC)</a> and green energy com…",renewable energy
"EDP Renovaveis <a href=""https://www.reuters.com/companies/EDPR.LS"" target=""_blank"">(EDPR.LS)</a>, the world's fourth-largest renewable power producer, has brought on-stream the first hybrid wind-solar farm in Iberia, adding 36.5 gigawatts (GW) of annual capac…",renewable energy
"Refiner Valero Energy Corp <a href=""https://www.reuters.com/companies/VLO.N"" target=""_blank"">(VLO.N)</a> and Darling Ingredients Inc <a href=""https://www.reuters.com/companies/DAR.N"" target=""_blank"">(DAR.N)</a> said on Tuesday that their joint venture had app…",renewable energy
"There are roughly 550,000 abandoned mines in the US. This vast amount of space might be the solution for scientists who have been researching ways to store renewable energy. In a study led by the International Institute for Applied Systems Analysis, researche…",renewable energy
"France is falling behind in its plans to boost onshore wind and solar power, the country's annual renewable electricity report published on Tuesday showed.",renewable energy
Putting solar panels on all of America's big box stores could see huge gains in renewable energy supplies.,renewable energy
"Germany's federal network agency on Monday said it had identified 5,000 kilometres (3,107 miles) of its network for upgrades, which will be central to plans to accelerate the shift to a greener economy.",renewable energy
"U.S. solar energy contract prices have soared by a third over the past year as project developers have struggled to get imported panels, according to a report published late on Monday.",renewable energy
"Australia and Germany have earmarked A$50 million ($35.5 million) and 50 million euros ($54.4 million), respectively, towards a joint initiative to establish a green hydrogen supply chain, Australian Minister for Climate Change and Energy Chris Bowen said on …",renewable energy
"Energy firm HH2E plans to build a second major hydrogen production plant in Germany that could be scaled up to more than 1 gigawatts (GW) by 2030 and cost more than 1 billion euros ($1.1 billion), the company said.",renewable energy
"Norway's $1.3 trillion wealth fund, which has faced stiff competition buying renewables assets, believes its financial clout could give it an edge as economic clouds darken because it doesn't need external capital, a top executive told Reuters.",renewable energy
"India will extend export benefits under a key scheme to domestic green hydrogen fuel manufacturers, two government officials said, as the Asian nation aims to become a global supplier of the clean fuel.",renewable energy
"The Indian government has approved $2.3 billion to support production, use and exports of green hydrogen, aiming to make India a global hub for the nascent industry. From a report: The funding, announced late Wednesday, is a first step toward establishing the…",renewable energy
"The energy industry is turning waste from dairy farms into renewable natural gas – but will it actually reduce emissions?On an early August afternoon at Pinnacle Dairy, a farm located near the middle of California’s long Central Valley, 1,300 Jersey cows idle…",renewable energy
"Leaders at Davos say we need to pull the ""lever"" of government policy and give more incentives to switch to green energy.",renewable energy
Microsoft just forged a strategic alliance with a major solar panel manufacturer to try to make good on its clean energy goals. From a report: The deal comes as supply chain woes and allegations of labor abuse are making it increasingly difficult to deploy so…,renewable energy
"Colombian majority-state-owned energy company Ecopetrol <a href=""https://www.reuters.com/companies/ECO.CN"" target=""_blank"">(ECO.CN)</a> on Thursday said Chief Executive Felipe Bayon will leave his post on March 31, following more than five years in the positi…",renewable energy
"Italian energy group Eni <a href=""https://www.reuters.com/companies/ENI.MI"" target=""_blank"">(ENI.MI)</a> said on Wednesday it will offer its first sustainability-linked bond for retail investors in Italy from Jan. 16.",renewable energy
"Guyana is in talks with Qatar, Britain, the United Arab Emirates and India on the possibility of allocating offshore blocks for oil and gas exploration under a bidding round this year, President Irfaan Ali said on Monday.",renewable energy
"Shell PLC's <a href=""https://www.reuters.com/companies/SHEL.L"" target=""_blank"">(SHEL.L)</a> LNG Canada export project in British Columbia plans to start building its proposed second phase with natural gas-powered turbines and switch to electricity as more ren…",renewable energy
"Norway's sovereign wealth fund, one of the world's largest investors, on Tuesday reported a record loss of 1.64 trillion crowns ($164.4 billion) for 2022, bringing to an end a three-year run of soaring profits.",renewable energy
"The U.S. Department of the Interior will reform its regulations for the development of wind energy facilities on the country's outer continental shelf to help meet crucial climate goals, it said in a statement on Thursday.",renewable energy
"Mexican state oil company Pemex's newest refinery, which is still under construction in Mexico's southeast, will begin to process crude oil in July 2023, the country's Energy Minister Rocio Nahle said.",renewable energy
"The Philippines' Department of Energy said on Friday it has approved a $67-million LNG import terminal project, the country's seventh such facility, as it gears up for the launch of its liquefied natural gas industry this year.",renewable energy
"Kyiv expects the European Union to include Russian state nuclear energy company Rosatom in its next round of sanctions over the war in Ukraine, Prime Minister Denys Shmyhal said on Monday.",renewable energy
"Copper prices are set for another rally this year thanks to surging demand, supply concerns and the metal's widespread use in energy transition technologies, Eurasian Resources Group's (ERG) chief executive officer told Reuters.",renewable energy
"For nearly 30 years, nations, nonprofits, researchers, industry representatives, and other stakeholders have gathered annually at the United Nations’ Conference of Parties—commonly known as COP—to talk through implementation of the U.N.’s climate change treat…",renewable energy
"Live, rolling coverage of business, economics and financial markets as Equinor chief executive says prices will rise amid ‘rewiring’ of energy systemGood morning, and welcome to our rolling, live coverage of business, economics and financial markets.Household…",renewable energy
"Study suggests tool could be used to reduce energy needs for heating and cooling office buildingsEvery year we shift our clocks forward in the spring, and backwards in the autumn. Originally daylight saving was introduced to save energy; reducing the number o…",renewable energy
"Chaz Teplin tore out gas appliances and installed electric one, then documented the energy savings during the winter storm in late December.",renewable energy
"The carbon-free fuel is expected to avoid 1,200 tons of carbon emissions annually. But critics say it's expensive and inefficient.",renewable energy
"European Commission President Ursula von der Leyen set out its <a href=""/business/sustainable-business/eu-lay-out-green-industry-plan-counter-us-china-subsidies-2023-02-01/"">Green Deal Industrial Plan</a> on Wednesday, designed to ensure the European Union do…",renewable energy
"Algerian state energy company Sonatrach is teaming up with South Africa's petrochemical group Sasol <a href=""https://www.reuters.com/companies/SOLJ.J"" target=""_blank"">(SOLJ.J)</a> on a project in Sicily to produce ""low carbon"" hydrogen and synthetic natural g…",renewable energy
"Australia's government-owned Snowy Hydro on Wednesday named the former boss of Contact Energy <a href=""https://www.reuters.com/companies/CEN.NZ"" target=""_blank"">(CEN.NZ)</a>, Dennis Barnes, as its new chief executive, to replace its long-time head who suddenl…",renewable energy
"U.S. Treasury Secretary Janet Yellen on Saturday helped kick off a new rural electrification project in Senegal that will bring reliable power to 350,000 people, while supporting some 500 jobs in 14 U.S. states.",renewable energy
"In Canada's western oil patch, controversy is raging over federal government legislation intended to help the fossil fuel labour force transition to a greener economy, but union and community leaders are warning politicization of the Just Transition bill obsc…",renewable energy
"Environmental, social and governance (ESG) issues were central to many of the biggest stories of 2022. Indeed, ESG investors frequently <a href=""https://www.reuters.com/business/finance/florida-pulls-2-bln-blackrock-largest-anti-esg-divestment-2022-12-01/"" ta…",renewable energy
"The construction of Finland's first industrial-scale green hydrogen production facility began on Friday, its future operator P2X Solutions said.",renewable energy
"Greenhouse gas emissions increased slightly from the previous year in 2022 by 1.3%, keeping the U.S. just 15.5% below 2005 levels and off track to meet its global pledge to slash emissions 50-52% by 2030, according to estimates published on Tuesday by researc…",renewable energy
Europe's main industrial engine - Germany - may be entering a recession after its economy shrank in the final quarter of 2022.,renewable energy
"French President Emmanuel Macron met with Iraq Prime Minister Mohammed Shia al-Sudani on Thursday, the French presidency said, signing a set of strategic agreements meant to boost Iraq's economic cooperation with the European country.",renewable energy
"French startup Eolink — in collaboration with 15 European energy partners — will install a 5MW floating offshore wind turbine in Bulgaria by 2025. This is part of the EU-backed Black Sea Floating Offshore Wind (BLOW) project, which aims to advance sustainable…",renewable energy
"Mercedes-Benz <a href=""https://www.reuters.com/companies/MBGn.DE"" target=""_blank"">(MBGn.DE)</a> is poised to invest billions of euros to build 10,000 fast-charging points in North America, Europe and China by 2030, the luxury carmaker said on Thursday.",renewable energy
"Bulgaria's lawmakers on Thursday backed a resolution aimed at avoiding an early phase-out of coal-fired power plants as more than 1,500 miners and utility workers demonstrated in front of the parliament in support of the coal industry.",renewable energy
"Climate activists protested in Davos on Sunday against the role of big oil firms at this week's World Economic Forum (WEF), saying they were hijacking the climate debate.",renewable energy
Non-profit group Global Witness urges US regulator to investigate oil giant and potentially impose fines over apparent ‘mislabeling’Shell has misleadingly overstated how much it is spending on renewable energy and should be investigated and potentially fined …,renewable energy
Switzerland's right-wing Swiss People's Party (SVP) on Thursday called a referendum aimed at blocking a draft law to cut greenhouse gas emissions.,renewable energy
"U.S. Energy Secretary Jennifer Granholm warned Republicans in a letter seen by Reuters on Wednesday that limiting President Joe Biden's authority to tap the nation's oil reserves would undermine national security, cause crude shortages and raise gasoline pric…",renewable energy
"Talks on rescue deal for battery startup led by DeaLab, which has been involved in fossil fuel transactionsThe battery startup Britishvolt is in talks with an Indonesia-linked oil and gas investor for a £160m rescue deal that would almost wipe out the value o…",renewable energy
"Prediction predicated on investment that keeps pace with Joe Biden’s $369bn green subsidy spree in USEurope could end its reliance on China for electric car batteries by 2030 but only if it keeps pace with Joe Biden’s $369bn (£298bn) green subsidy spree, expe…",renewable energy
"U.S. oil refiner Phillips 66 <a href=""https://www.reuters.com/companies/PSX.N"" target=""_blank"">(PSX.N)</a> expects supplies of gasoline and diesel to be tight this summer, a top executive said on Thursday during a presentation at the Goldman Sachs Global Ener…",renewable energy
"The American Petroleum Institute and two oil companies <a href=""https://fingfx.thomsonreuters.com/gfx/legaldocs/zdvxdrmnrvx/American%20Petroleum%20Institute%20Petition.pdf"" target=""_blank"">want</a> the Supreme Court to review a court order banning fracking of…",renewable energy
"Asset managers Amundi <a href=""https://www.reuters.com/companies/AMUN.PA"" target=""_blank"">(AMUN.PA)</a> and Reichmuth will co-invest up to 265 million euros in a new vehicle by Spain's Alantra, which aims to raise a total of 1.7 billion euros to invest in sol…",renewable energy
"Swiss private equity firm Partners Group <a href=""https://www.reuters.com/companies/PGHN.S"" target=""_blank"">(PGHN.S)</a> said on Thursday it expected to raise $17 billion to $22 billion this year, assuming markets stabilise enough to normalise client conversi…",renewable energy
"Equinor <a href=""https://www.reuters.com/companies/EQNR.OL"" target=""_blank"">(EQNR.OL)</a> and BP <a href=""https://www.reuters.com/companies/BP.L"" target=""_blank"">(BP.L)</a> have submitted a joint bid to build a second stage of their Beacon Wind project to sup…",renewable energy
"PJM's new interconnection reforms, approved by the Federal Energy Regulatory Commission (FERC) in November, are set to reduce the delays that are hampering wind and solar developers.",renewable energy
"Germany's Greens party can weather disapproval from its environmentalist base over its role in approving the demolition of a village to expand a coal mine if it uses that concession to accelerate other climate policies, activists and analysts say.",renewable energy
Germany on Friday said it has drawn up new development plans for offshore wind turbine sites to reach a target for 30 gigawatts (GW) of installed wind power capacity by 2030.,renewable energy
"Oil and gas group says countries are pursuing energy security by backing domestic, renewable suppliesGlobal carbon emissions are expected to fall quicker than previously expected as a result of the war in Ukraine and Joe Biden’s efforts to encourage green inv…",renewable energy
"India's Adani Enterprises Limited (AEL) <a href=""https://www.reuters.com/companies/ADEL.NS"" target=""_blank"">(ADEL.NS)</a> said on Tuesday that it has signed an agreement with Ashok Leyland <a href=""https://www.reuters.com/companies/ASOK.NS"" target=""_blank"">(A…",renewable energy
Britain's Crown Estate will lease sites for six offshore wind projects capable of generating enough green electricity to power more than seven million homes by 2030 under agreements announced on Thursday.,renewable energy
"France and the United Arab Emirates are working to strengthen their economic relationship with ""concrete outcomes"" expected in the near future, French finance minister Bruno Le Maire said on Monday during a visit to the Gulf Arab state.",renewable energy
"Exxon Mobil <a href=""https://www.reuters.com/companies/XOM.N"" target=""_blank"">(XOM.N)</a> and Chevron <a href=""https://www.reuters.com/companies/CVX.N"" target=""_blank"">(CVX.N)</a> are rolling in cash. So are Shell <a href=""https://www.reuters.com/companies/SH…",renewable energy
"The European Union aims to finish negotiations by July on laws to deliver its 2030 climate change target, although a contentious overhaul of fossil fuel taxes will likely take longer, Sweden's ambassadors to the bloc said on Monday.",renewable energy
"Working with ChargePoint, it will install more than 2,500 chargers at 400 sites by 2027.",renewable energy
"The terminal under construction at New York's John F. Kennedy International Airport will be partly powered by a microgrid, batteries, and fuel cells.",renewable energy
"Global aluminium production rose by a marginal 2.0% last year, a rate of growth that was down from 2.7% in 2021 and the slowest since 2019, according to the International Aluminium Institute (IAI).",renewable energy
"Iron ore magnate Andrew Forrest called on Thursday for an overhaul of a $20 billion-plus project to send solar power from Australia to Singapore, which collapsed after he and tech billionaire Mike Cannon-Brookes split over funding plans.",renewable energy
"The United Arab Emirates said on Thursday that Sultan al-Jaber, the head of state oil giant ADNOC, would act as president of the COP28 climate conference it is hosting this year.",renewable energy
