Post,Label
"For First Time Ever, Scientists Identify How Many Trees to Plant and Where to Plant Them to Stop Climate Crisis",sustainability
How should Buddhists respond to the climate crisis?,Buddhism
These 3 solutions could turn the tide on the climate crisis,climate
Biden Strategy to 'Address the Climate Crisis' Includes Push for Reduced Travel,Conservative
Macron slammed for asking: 'Who could have predicted the climate crisis?',europe
"Earth is on track to exceed 1.5C warming in the next decade, study using AI finds | Climate crisis",EverythingScience
Mikaela Shiffrin leads push for winter sports sustainability amid climate crisis | American skier wants to make her sport climate neutral,climate
Will this climate crisis event be wasted too?,newzealand
"I know this has been asked before - but why did you have kids? And are you worried about their future and the world they’ll live in (climate crisis, social unrest, life being crazy expensive)?",AskParents
John Kerry's Taxpayer-Funded Fight Against the 'Climate Crisis' Takes Him to Five-Star Island Resort,Conservative
Julian Sands is the latest to vanish. Is the climate crisis behind a string of California hiker tragedies?,climate
"Climate crisis: past eight years were the eight hottest ever, says UN",worldnews
Clive Palmer-owned company withdraws appeal against ruling that coalmine would worsen climate crisis,australia
Climate crisis: UN finds ‘no credible pathway to 1.5C in place’,ABoringDystopia
How do you deal with feelings about the climate crisis?,druidism
Biden Admin Floats New Strategy to 'Address the Climate Crisis': Don't Leave Your House,Conservative
Austrian children sue government for failing to protect them from climate crisis,environment
Capitalism fuels the climate crisis. Can it also offer solutions?,climate
"Climate breakdown could cause British apples to die out, warn experts | Climate crisis",unitedkingdom
"""Extinction level event"" World risks descending into a climate ‘doom loop’, warn thinktanks | Climate crisis",LateStageCapitalism
New Zealand minister decries climate crisis ‘lost decades’ in wake of Cyclone Gabrielle | New Zealand,worldnews
"A solution to the climate crisis: mining the moon, researchers say | The moon",climate
"Humanity faces ‘collective suicide’ over climate crisis, warns UN chief | António Guterres tells governments ‘half of humanity is in danger zone’, as countries battle extreme heat",worldnews
It's The Global Warming Vortex That's Exposing The Climate Crisis,SubSimulatorGPT2
"Noord-Holland aims to become the first of 12 Dutch provinces to ban advertising for meat, fish, air travel and fossil fuels from its bus shelters. ""As a province, we are working hard to solve the climate crisis but our bus shelters are giving a platform to companies that are working against this""",worldnews
"I'll believe the climate crisis when Greta Thunberg starts protesting Vanguard, State Street, BlackRock, Rothschild Inc, and Rockefeller Cartel. The NWO owns Big Oil. They push green agenda to lower supply, keep prices high, and crush us with inflation. I'd nationalize oil production, bankrupt them",conspiracy
"What economic system can be best used to not only have sustainability, but help reverse the climate crisis?",ClimateOffensive
Have you turned down a job because you weren't satisfied with the company's record on the climate crisis? Should everyone care about their job's impact on the planet?,ClimateOffensive
Rabm with themes of global warming and climate crisis?,rabm
Klaus Schwab and World Economic Forum is now coming for your pets… your dog is too much of a burden for the world… all in the name of “climate crisis”…,Wallstreetsilver
"Oceans were the hottest ever recorded in 2022, analysis shows | Climate crisis",collapse
"World risks descending into a climate ‘doom loop’, warn thinktanks | Report says simply coping with escalating impacts of climate crisis could override tackling root cause",climate
"Celebrities call on UK banks to stop financing new oil, gas and coalfields | Climate crisis",climate
Average election in the 2050’s after the climate crisis.,YAPms
"""We don't have to always frame the climate crisis as a story of loss and despair and apocalypse.""",solarpunk
"If I pay up to $100k and study hard to become a “climate scientist”, would I be able to read this graph and conclude we’re not in a climate crisis?",climateskeptics
"Neil Oliver: “Nothing less than our way of life is under threat now. A population distracted by propaganda about one existential threat after another – pandemics, nuclear war, climate crisis – is being herded into an unrecognisable future.” Video under comments.",climateskeptics
Macron slammed for asking: 'Who could have predicted the climate crisis?',ExtinctionRebellion
"Climate breakdown could cause British apples to die out, warn experts | Climate crisis",climate
This is definitely going to encourage people to take the climate crisis more seriously and not just give a bad name to all the people trying to make an actual difference. .. …,GreenAndPleasant
[Keir Starmer] Rishi Sunak is a fossil fuel prime minister in a renewable age • Only Labour grasps the challenges of the climate crisis and why we must become a clean energy giant,ukpolitics
"Amidst the climate crisis, the case for hope is getting stronger",environment
‘Carbon timebomb’: climate crisis threatens to destroy Congo peatlands,Futurology
4 Lessons That Zen Buddhism Can Teach Us About Addressing The Climate Crisis,ClimateOffensive
Dan Seemed to have a pretty good way of handling the Climate crisis deniers,ChatGPT
"Billionaires are far from harmless. Fuelling the climate crisis, they’re among the most dangerous people on Earth",CanadaPolitics
Activist investors sue Shell for not fighting 'climate crisis'; lawsuit demands company change business model to 'cleaner energy',Conservative
The West will not act on climate change until it feels its pain | Climate Crisis,collapse
"The US government pays little to no attention to the climate crisis. They put exorbitant amounts of funds into the military when they should be allocating them to green solutions. I found out that the Navy has put climate change at the top of its threat list, which could lead to significant changes.",climate
Scientists propose firing moon dust into space to solve climate crisis / Using a rail gun,technology
Climate crisis monk.,taoism
"Great Salt Lake will disappear in 5 years without massive 'emergency rescue,' scientists say | The Great Salt Lake, plagued by excessive water use and a worsening climate crisis, has dropped to record-low levels two years in a row.",climate
"The past eight years were the eight hottest ever recorded, a new UN report has found, indicating the world is now deep into the climate crisis. The internationally agreed 1.5C limit for global heating is now “barely within reach”, it said",environment
(Low Effort Sunday) Teen Titans go made the most perfect metaphor for the Climate Crisis,CharacterRant
Cop27: Biden says leaders ‘can no longer plead ignorance’ over climate crisis | US president announces plan to cut methane emissions as he urges major economies to ‘step up’ efforts to keep global heating to 1.5C,politics
"Former Reuters science reporter: The media is lying about CO2 and a ""climate crisis""",Conservative
Will the impending climate crisis bring people together or tear them apart?,VaushV
Can We Address the Climate Crisis by “Degrowing”?,economy
Saving water can help us deal with the climate crisis. Here's how to reduce your use,Vegetarianism
Why World Bank chief’s resignation is good news for climate crisis fight,climate
Climate Crisis Tide Turns For Big Oil,climateskeptics
